trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
STM05,CY312,LCA-ATH,2012-11-14T10:45:00+02:00,2012-11-14T12:30:00+02:00,,,,,B,5B-DCM,320,,,,
STM05,TK1850,ATH-IST,2012-11-14T14:50:00+02:00,2012-11-14T16:10:00+02:00,,,,,B,TC-JLN,319,,,,
STM05,TK2170,IST-ESB,2012-11-14T18:00:00+02:00,2012-11-14T19:05:00+02:00,,,,,B,TC-JPH,320,,,,
STM05,YB495,ESB-CKZ,2012-11-21T23:00:00+02:00,2012-11-21T00:30:00+02:00,,,,,B,TC-YAD,AT7,,,,
STM05,YB496,CKZ-ESB,2012-11-28T07:00:00+02:00,2012-11-28T08:30:00+02:00,,,,,B,TC-YAB,AT7,,,,
STM05,TK2147,ESB-IST,2012-11-28T14:00:00+02:00,2012-11-28T15:05:00+02:00,,,,,B,RI?,321,,,,
STM05,BA677,IST-LHR,2012-11-28T16:40:00+02:00,2012-11-28T18:55:00+00:00,,,,,B,,767,,,Registration NWX?,
STM05,QF2,LHR-SIN,2012-11-28T21:30:00+00:00,2012-11-28T18:20:00+08:00,,,,,B,,,,,,
STM05,QF2,SIN-SYD,2012-11-29T19:50:00+08:00,2012-11-29T06:50:00+11:00,,,,,B,,,,,,
STM05,QF787,SYD-CBR,2012-11-30T08:20:00+11:00,2012-11-30T09:15:00+11:00,,,,,B,,737,,,Registration JJ?,
Christmas 2012,QF811,CBR-MEL,2012-12-04T09:10:00+11:00,2012-12-04T10:20:00+11:00,,,,,L,VH-OGT,763,2A,,Alone in Business!,
Christmas 2012,ZL3573,MEL-BWT,2012-12-07T14:50:00+11:00,2012-12-07T16:00:00+11:00,,,,,L,,,1C,,,
Christmas 2012,DJ1337,HBA-MEL,2012-12-09T22:00:00+11:00,2012-12-09T23:15:00+11:00,,,,,L,VH-VBY,73G,1A,,,
Christmas 2012,QF822,MEL-CBR,2012-12-15T19:00:00+11:00,2012-12-15T20:05:00+11:00,,,,,L,VH-VZA,738,3A,,,
Christmas 2012,QF856,MEL-CBR,2012-12-24T14:15:00+11:00,2012-12-24T15:20:00+11:00,,,,,L,VH-TJL,734,12A,,,
Christmas 2012,QF795,CBR-MEL,2012-12-29T06:40:00+11:00,2012-12-29T07:50:00+11:00,,,,,L,VH-VXE,738,13D,,,
Christmas 2012,QF2051,MEL-DPO,2012-12-29T08:30:00+11:00,2012-12-29T09:35:00+11:00,,,,,L,,DH4,1B,,,
Christmas 2012,QF2058,DPO-MEL,2012-12-30T17:10:00+11:00,2012-12-30T18:20:00+11:00,,,,,L,VH-QOP,DH4,1B,,,
Christmas 2012,QF822,MEL-CBR,2012-12-30T19:00:00+11:00,2012-12-30T20:05:00+11:00,,,,,L,VH-TJZ,734,1F,,Op-Up to Business,
Christmas 2012,QF763,CBR-MEL,2013-01-25T10:20:00+11:00,2013-01-25T11:30:00+11:00,,,,,L,VH-TJY,734,1A,,Business class,
Christmas 2012,QF812,MEL-CBR,2013-01-29T13:15:00+11:00,2013-01-29T14:20:00+11:00,,,,,L,VH-TJS,734,9D,,,
STM06,QF564,CBR-SYD,2013-02-05T08:55:00+11:00,2013-02-05T09:50:00+11:00,,,,,B,,,,,Registration JY?,
STM06,SQ232,SYD-SIN,2013-02-05T12:15:00+11:00,2013-02-05T17:20:00+08:00,,,,,B,,,,,Registration KK?,
STM06,SQ446,SIN-DAC,2013-02-05T18:45:00+08:00,2013-02-05T20:50:00+06:00,,,,,B,,,,,Registration TA?,
STM06,9W271,DAC-DEL,2013-02-13T09:20:00+06:00,2013-02-13T11:30:00+05:30,,,,,B,VT-JBJ,738,,,,
STM06,9W262,DEL-KTM,2013-02-13T12:40:00+05:30,2013-02-13T14:40:00+05:45,,,,,B,VT-JBN,738,,,,
STM06,9W265,KTM-BOM,2013-02-19T14:25:00+05:45,2013-02-19T17:10:00+05:30,,,,,B,,,,,,
STM06,9W256,BOM-CMB,2013-02-20T02:10:00+05:30,2013-02-20T04:45:00+05:30,,,,,B,VT-JGQ,738,,,,
STM06,UL898,CMB-BKK,2013-03-01T13:55:00+05:30,2013-03-01T18:50:00+07:00,,,,,B,4R-ALJ,332,,,,
STM06,TG317,BKK-BOM,2013-03-05T18:45:00+07:00,2013-03-05T22:00:00+05:30,,,,,B,,744,,,HS-TGK,
STM06,9W467,BOM-MAA,2013-03-13T15:05:00+05:30,2013-03-13T17:05:00+05:30,,,,,B,,737,,,Registration FD?,
STM06,9W836,MAA-DEL,2013-03-19T08:30:00+05:30,2013-03-19T11:15:00+05:30,,,,,B,,737,,,Registration BU?,
STM06,SQ405,DEL-SIN,2013-03-27T08:00:00+05:30,2013-03-27T16:10:00+08:00,,,,,B,,,,,,
STM06,SQ221,SIN-SYD,2013-03-27T20:35:00+08:00,2013-03-27T07:40:00+11:00,,,,,B,,,,,,
STM06,QF787,SYD-CBR,2013-03-28T08:20:00+11:00,2013-03-28T09:15:00+11:00,,,,,B,,,,,Registration JK?,
2013 Cairns Trip,QF795,CBR-MEL,2013-03-30T06:40:00+11:00,2013-03-30T07:50:00+11:00,,,,,L,,737,1C,,Registration VH-?JJ?,
2013 Cairns Trip,QF702,MEL-CNS,2013-03-30T09:25:00+11:00,2013-03-30T11:50:00+10:00,,,,,L,VH-VZC,737,1C,,,
2013 Cairns Trip,QF649,CNS-BNE,2013-04-03T13:00:00+10:00,2013-04-03T15:10:00+10:00,,,,,L,,737,2D,,,
2013 Cairns Trip,QF959,BNE-CBR,2013-04-03T19:05:00+10:00,2013-04-03T21:55:00+11:00,,,,,L,VH-VJL,737,5C,,Registration VH-VJL? Listed as Learjet,
STM07,QF872,CBR-SYD,2013-04-15T07:30:00+10:00,2013-04-15T08:20:00+10:00,,,,,B,VH-VYK,738,,,,
STM07,QF27,SYD-SCL,2013-04-15T10:55:00+10:00,2013-04-15T10:50:00-03:00,,,,,B,,,,,,
STM07,LA632,SCL-LIM,2013-04-16T15:55:00-03:00,2013-04-16T17:50:00-05:00,,,,,B,,,,,,
STM07,LA541,LIM-SCL,2013-04-23T08:35:00-05:00,2013-04-23T14:00:00-03:00,,,,,B,,,,,,
STM07,LA752,SCL-GRU,2013-05-01T11:50:00-04:00,2013-05-01T16:40:00-03:00,,,,,B,,,,,Registration QM?,
STM07,LA8080,GRU-BSB,2013-05-01T18:35:00-03:00,2013-05-01T20:24:00-03:00,,,,,B,,,,,Registration JJ3580? ?O? (COM) - Swap?,
STM07,G31685,BSB-GRU,2013-05-07T10:56:00-03:00,2013-05-07T12:25:00-03:00,,,,,B,,,,,Registration PR GGD? 1865?,
STM07,JJ8018,GRU-EZE,2013-05-07T14:25:00-03:00,2013-05-07T17:15:00-03:00,,,,,B,,,,,Registration AR TAM - Swap?,
STM07,LA532,EZE-SCL,2013-05-16T18:00:00-03:00,2013-05-16T19:20:00-04:00,,,,,B,,,,,Registration CWN?,
STM07,LA801,SCL-AKL,2013-05-16T23:20:00-04:00,2013-05-16T04:30:00+12:00,,,,,B,,,,,Operated by LAN (QF322),
STM07,LA801,AKL-SYD,2013-05-18T06:00:00+12:00,2013-05-18T07:40:00+10:00,,,,,B,,,,,Operated by LAN (QF322),
STM07,QF1471,SYD-CBR,2013-05-18T09:40:00+10:00,2013-05-18T10:30:00+10:00,,,,,B,,,,,,
STM08,QF795,CBR-MEL,2013-05-19T06:40:00+10:00,2013-05-19T07:50:00+10:00,,,,,B,VH-TJY,734,,,,
STM08,QF485,MEL-PER,2013-05-19T08:35:00+10:00,2013-05-19T10:40:00+08:00,,,,,B,VH-OGK,763,,,,
STM08,MK441,PER-MRU,2013-05-19T13:05:00+08:00,2013-05-19T17:40:00+04:00,,,,,B,,,,,Registration RQ?,
STM08,SA7110,MRU-JNB,2013-05-28T09:15:00+04:00,2013-05-28T11:50:00+02:00,,,,,B,3B-NAY,343,,,Operated by MK,
STM08,SA24,JNB-HRE,2013-05-28T19:40:00+02:00,2013-05-28T21:20:00+02:00,,,,,B,ZS-SJE,738,,,,
STM08,SA23,HRE-JNB,2013-06-04T13:10:00+02:00,2013-06-04T15:00:00+02:00,,,,,B,ZS-SJA,738,,,,
STM08,SA280,JNB-PER,2013-06-08T22:20:00+02:00,2013-06-08T13:25:00+08:00,,,,,B,ZS-SXF,344,,,Operated by SA (QF304),
STM08,QF768,PER-MEL,2013-06-09T17:00:00+08:00,2013-06-09T22:30:00+10:00,,,,,B,VH-EBV,332,,,,
STM08,QF1011,MEL-HBA,2013-06-10T07:00:00+10:00,2013-06-10T08:15:00+10:00,,,,,B,VH-VXF,738,,,,
STM08,QF1012,HBA-MEL,2013-06-16T10:40:00+10:00,2013-06-16T11:55:00+10:00,,,,,B,VH-VYD,738,,,,
STM08,QF2057,MEL-DPO,2013-06-22T15:40:00+10:00,2013-06-22T16:45:00+10:00,,,,,B,,DH4,1B,,,
STM08,QF2054,DPO-MEL,2013-06-23T00:00:00+10:00,2013-06-23T00:00:00+10:00,,,,,B,VH-QOH,DH4,7C,,,
STM08,QF818,MEL-CBR,2013-06-23T00:00:00+10:00,2013-06-23T00:00:00+10:00,,,,,B,VH-TJX,734,12D,,,
STM09,QF713,CBR-ADL,2013-07-03T06:00:00+10:00,2013-07-03T07:20:00+09:30,,,,,B,VH-VXM,738,,,,
STM09,QF708,ADL-CBR,2013-07-09T19:00:00+09:30,2013-07-09T21:10:00+10:00,,,,,B,VH-TJZ,734,,,,
STM10,QF719,CBR-PER,2013-07-16T19:30:00+10:00,2013-07-16T22:15:00+08:00,,,,,B,VH-VZO,738,2F,,,
STM10,VA469,PER-BNE,2013-07-23T12:30:00+08:00,2013-07-23T18:50:00+10:00,,,,,B,VH-XFD,332,1K,,,
STM10,VA986,BNE-SYD,2013-07-30T19:00:00+10:00,2013-07-30T20:35:00+10:00,,,,,B,,,,,,
STM10,QF799,SYD-CBR,2013-08-13T16:55:00+10:00,2013-08-13T17:50:00+10:00,,,,,B,,,,,,
STM11,QF763,CBR-MEL,2013-08-18T10:20:00+10:00,2013-08-18T11:30:00+10:00,,,,,B,,,,,,
STM11,SQ228,MEL-SIN,2013-08-18T15:45:00+10:00,2013-08-18T21:45:00+08:00,,,,,B,,777,,,Star Alliance Paintjob / Registration ??-?WJ,
STM11,SQ26,SIN-FRA,2013-08-18T23:55:00+08:00,2013-08-18T06:30:00+02:00,,,,,B,,380,,,Registration ??-?KD,
STM11,LH562,FRA-ABV,2013-08-19T10:25:00+02:00,2013-08-19T15:20:00+01:00,,,,,B,,,,,,
STM11,W361,ABV-ACC,2013-08-28T17:00:00+01:00,2013-08-28T17:50:00+00:00,,,,,B,,,,,,
STM11,EK788,ACC-DXB,2013-09-03T17:35:00+00:00,2013-09-03T05:50:00+04:00,,,,,B,,,,,,
STM11,EK901,DXB-AMM,2013-09-04T07:25:00+04:00,2013-09-04T09:30:00+03:00,,,,,B,,,,,,
STM11,RJ640,AMM-KWI,2013-09-04T13:50:00+03:00,2013-09-04T15:55:00+03:00,,,,,B,,,,,,
STM11,KU773,KWI-RUH,2013-09-10T16:00:00+03:00,2013-09-10T17:15:00+03:00,,,,,B,,,,,,
STM11,EY318,RUH-AUH,2013-09-17T16:15:00+03:00,2013-09-17T18:55:00+04:00,,,,,B,A6-EIB,322,,,,
STM11,EK927,DXB-CAI,2013-10-08T08:50:00+04:00,2013-10-08T10:40:00+02:00,,,,,B,,,,,,
STM11,LH583,CAI-FRA,2013-10-16T15:40:00+02:00,2013-10-16T20:10:00+02:00,,,,,B,,,,,Operated by MS,
STM11,BA8733,FRA-LCY,2013-10-21T11:40:00+02:00,2013-10-21T12:10:00+01:00,,,,,B,,,3A,,,
STM11,BA8716,LCY-EDI,2013-10-21T14:20:00+01:00,2013-10-21T15:40:00+01:00,,,,,B,,,1D,,,
STM11,BA8734,LCY-FRA,2013-10-28T14:45:00+00:00,2013-10-28T17:15:00+01:00,,,,,B,G-LENM,AR8,9D,,,
STM11,SQ325,FRA-SIN,2013-10-29T22:00:00+01:00,2013-10-29T16:25:00+08:00,,,,,B,,,,,,
STM11,SQ231,SIN-SYD,2013-10-31T00:45:00+08:00,2013-10-31T10:30:00+11:00,,,,,B,,,,,,
STM11,QF1479,SYD-CBR,2013-10-31T12:50:00+11:00,2013-10-31T13:45:00+11:00,,,,,B,,,,,,
JP2047 Trip #1,VA257,MEL-CBR,2014-10-21T07:00:00+11:00,2014-10-21T08:05:00+11:00,,,,,B,VH-ZPR,190,,,,
JP2047 Trip #1,VA278,CBR-MEL,2014-10-24T17:00:00+11:00,2014-10-24T18:10:00+11:00,,,,,B,VH-YFI,738,,,,
JP2047 Trip #2,QF826,MEL-CBR,2014-10-26T16:15:00+11:00,2014-10-26T17:20:00+11:00,,,,,B,VH-VZL,738,,,,
JP2047 Trip #2,VA278,CBR-MEL,2014-10-31T17:00:00+11:00,2014-10-31T18:10:00+11:00,,,,,B,VH-YIU,738,,,,
JP2047 Trip #3,VA277,MEL-CBR,2014-11-02T15:25:00+11:00,2014-11-02T16:30:00+11:00,,,,,B,VH-YVC,738,,,,
JP2047 Trip #3,VA278,CBR-MEL,2014-11-07T17:00:00+11:00,2014-11-07T18:10:00+11:00,,,,,B,VH-VUI,738,,,,
JP2047 Trip #4,VA277,MEL-CBR,2014-11-09T15:25:00+11:00,2014-11-09T16:30:00+11:00,,,,,B,VH-YIS,738,,,,
JP2047 Trip #4,VA278,CBR-MEL,2014-11-14T17:00:00+11:00,2014-11-14T18:10:00+11:00,,,,,B,VH-YIE,738,,,,
JP2047 Trip #5,VA277,MEL-CBR,2014-11-16T15:30:00+11:00,2014-11-16T16:35:00+11:00,,,,,B,VH-YIS,738,,,,
JP2047 Trip #5,VA278,CBR-MEL,2014-11-21T17:00:00+11:00,2014-11-21T18:10:00+11:00,,,,,B,VH-VUJ,738,,,,
JP2047 Trip #6,VA277,MEL-CBR,2014-11-23T15:25:00+11:00,2014-11-23T16:30:00+11:00,,,,,B,VH-YIV,738,,,,
JP2047 Trip #6,VA278,CBR-MEL,2014-11-28T17:00:00+11:00,2014-11-28T18:10:00+11:00,,,,,B,VH-YIS,738,,,,
JP2047 Trip #7,VA277,MEL-CBR,2014-11-30T15:25:00+11:00,2014-11-30T16:31:00+11:00,,,,,B,VH-YIF,738,,,,
JP2047 Trip #7,VA278,CBR-MEL,2014-12-04T17:00:00+11:00,2014-12-04T18:10:00+11:00,,,,,B,VH-VUC,738,,,,
JP2047 Trip #8,QF818,MEL-CBR,2014-12-07T15:25:00+11:00,2014-12-07T16:30:00+11:00,,,,,B,VH-VXL,738,,,,
JP2047 Trip #8,VA278,CBR-MEL,2014-12-12T17:00:00+11:00,2014-12-12T18:10:00+11:00,,,,,B,VH-YVD,738,,,,
JP2047 Trip #9,VA277,MEL-CBR,2014-12-14T15:25:00+11:00,2014-12-14T16:30:00+11:00,,,,,B,,,,,,
JP2047 Trip #9,VA278,CBR-MEL,2014-12-21T17:00:00+11:00,2014-12-21T18:10:00+11:00,,,,,B,,,,,,
JP2047 Trip #10,QF812,MEL-CBR,2015-01-04T12:55:00+11:00,2015-01-04T14:00:00+11:00,,,,,B,VH-VZD,738,,,,
JP2047 Trip #10,QF819,CBR-MEL,2015-01-09T17:10:00+11:00,2015-01-09T18:20:00+11:00,,,,,B,VH-VYC,738,,,,
JP2047 Trip #11,QF818,MEL-CBR,2015-01-11T15:25:00+11:00,2015-01-11T16:30:00+11:00,,,,,B,VH-VZU,738,,,,
JP2047 Trip #11,QF819,CBR-MEL,2015-01-16T17:10:00+11:00,2015-01-16T18:20:00+11:00,,,,,B,VH-XZJ,738,,,,
JP2047 Trip #12,VA277,MEL-CBR,2015-01-18T15:25:00+11:00,2015-01-18T16:30:00+11:00,,,,,B,VH-YVC,738,,,,
JP2047 Trip #12,VA278,CBR-MEL,2015-01-23T17:00:00+11:00,2015-01-23T18:10:00+11:00,,,,,B,VH-YIV,738,,,,
JP2047 Trip #13,QF819,CBR-MEL,2015-01-30T17:10:00+11:00,2015-01-30T18:20:00+11:00,,,,,B,VH-VYE,738,,,,
JP2047 Trip #14,VA277,MEL-CBR,2015-02-01T15:25:00+11:00,2015-02-01T16:30:00+11:00,,,,,B,VH-VUA,738,,,,
JP2047 Trip #14,VA278,CBR-MEL,2015-02-06T17:00:00+11:00,2015-02-06T18:10:00+11:00,,,,,B,VH-VOX,738,,,,
JP2047 Trip #15,QF818,MEL-CBR,2015-02-08T15:25:00+11:00,2015-02-08T16:30:00+11:00,,,,,B,,,,,,
Adelaide Trip #2,QF737,CBR-ADL,2015-02-13T18:00:00+11:00,2015-02-13T19:15:00+10:30,,,,,L,VH-XZM,738,,,,
Adelaide Trip #2,QF708,ADL-CBR,2015-02-15T19:00:00+10:30,2015-02-15T21:05:00+11:00,,,,,L,VH-VYA,738,,,,
JP2047 Trip #16,VA278,CBR-MEL,2015-02-19T17:00:00+11:00,2015-02-19T18:10:00+11:00,,,,,B,VH-YIJ,738,,,,
JP2047 Trip #17,VA277,MEL-CBR,2015-02-22T15:25:00+11:00,2015-02-22T16:30:00+11:00,,,,,B,VH-VOL,738,,,,
JP2047 Trip #17,VA278,CBR-MEL,2015-02-27T17:00:00+11:00,2015-02-27T18:10:00+11:00,,,,,B,VH-YFR,738,,,,
London Trip,QF9,DXB-LHR,2015-03-02T08:30:00+04:00,2015-03-02T12:25:00+00:00,,,,,L,,,,,Check Times & Timezone,
London Trip,QF9,MEL-DXB,2015-03-02T23:35:00+11:00,2015-03-02T06:45:00+04:00,,,,,L,,,,,Check Times & Timezone,
London Trip,BA309,CDG-LHR,2015-03-05T12:30:00+01:00,2015-03-05T12:45:00+00:00,,,,,L,,,,,Check Times & Timezone,
London Trip,QF10,LHR-DXB,2015-03-14T12:35:00+00:00,2015-03-14T23:30:00+04:00,,,,,L,,,,,Check Times & Timezone,
London Trip,QF10,DXB-MEL,2015-03-15T01:15:00+04:00,2015-03-15T21:35:00+11:00,,,,,L,,,,,Check Times & Timezone,
JP2047 Trip #18,QF1528,MEL-CBR,2015-03-16T10:30:00+11:00,2015-03-16T11:35:00+11:00,,,,,B,VH-YQV,712,,,,
JP2047 Trip #18,VA278,CBR-MEL,2015-03-20T17:00:00+11:00,2015-03-20T18:10:00+11:00,,,,,B,VH-YIA,738,,,,
JP2047 Trip #19,QF818,MEL-CBR,2015-03-22T15:25:00+11:00,2015-03-22T16:30:00+11:00,,,,,B,VH-VYC,738,,,,
JP2047 Trip #19,QF819,CBR-MEL,2015-03-27T17:10:00+11:00,2015-03-27T18:20:00+11:00,,,,,B,VH-VZZ,738,,,,
JP2047 Trip #20,QF818,MEL-CBR,2015-03-29T15:25:00+11:00,2015-03-29T16:30:00+11:00,,,,,B,VH-VXC,738,,,,
JP2047 Trip #20,QF819,CBR-MEL,2015-04-02T17:10:00+11:00,2015-04-02T18:20:00+11:00,,,,,B,VH-VXF,738,,,,
JP2047 Trip #21,QF804,MEL-CBR,2015-04-07T07:20:00+10:00,2015-04-07T08:25:00+10:00,,,,,B,VH-VXI,738,,,,
JP2047 Trip #21,QF819,CBR-MEL,2015-04-10T17:10:00+10:00,2015-04-10T18:20:00+10:00,,,,,B,VH-VZB,738,,,,
JP2047 Trip #22,QF818,MEL-CBR,2015-04-12T15:25:00+10:00,2015-04-12T16:30:00+10:00,,,,,B,VH-VZA,738,,,,
JP2047 Trip #22,QF815,CBR-MEL,2015-04-17T15:00:00+10:00,2015-04-17T16:10:00+10:00,,,,,B,VH-XZO,738,,,,
JP2047 Trip #23,QF822,MEL-CBR,2015-04-19T19:15:00+10:00,2015-04-19T20:20:00+10:00,,,,,B,VH-XZO,738,,,,
JP2047 Trip #23,VA278,CBR-MEL,2015-04-24T17:00:00+10:00,2015-04-24T18:10:00+10:00,,,,,B,VH-VUL,738,,,,
JP2047 Trip #24,VA277,MEL-CBR,2015-04-26T15:25:00+10:00,2015-04-26T16:30:00+10:00,,,,,B,VH-VUT,738,,,,
JP2047 Trip #24,QF819,CBR-MEL,2015-05-01T17:10:00+10:00,2015-05-01T18:20:00+10:00,,,,,B,VH-XZN,738,,,,
JP2047 Trip #25,VA277,MEL-CBR,2015-05-03T15:25:00+10:00,2015-05-03T16:30:00+10:00,,,,,B,VH-YFK,738,,,,
JP2047 Trip #25,QF815,CBR-MEL,2015-05-08T15:00:00+10:00,2015-05-08T16:10:00+10:00,,,,,B,VH-VZW,738,,,,
JP2047 Trip #26,QF814,MEL-CBR,2015-05-11T09:00:00+10:00,2015-05-11T10:05:00+10:00,,,,,B,VH-VZO,738,,,,
JP2047 Trip #26,QF815,CBR-MEL,2015-05-15T15:00:00+10:00,2015-05-15T16:10:00+10:00,,,,,B,VH-XZE,738,,,,
JP2047 Trip #27,VA259,MEL-CBR,2015-05-18T08:30:00+10:00,2015-05-18T09:35:00+10:00,,,,,B,VH-ZPQ,190,,,,
JP2047 Trip #27,VA278,CBR-MEL,2015-05-22T17:00:00+10:00,2015-05-22T18:10:00+10:00,,,,,B,VH-VUH,738,,,,
JP2047 Trip #28,QF804,MEL-CBR,2015-05-25T07:20:00+10:00,2015-05-25T08:25:00+10:00,,,,,B,VH-XZN,738,,,,
JP2047 Trip #28,QF815,CBR-MEL,2015-06-05T15:00:00+10:00,2015-06-05T16:10:00+10:00,,,,,B,,,,,,
JP2047 Trip #29,QF2130,MEL-CBR,2015-06-09T11:25:00+10:00,2015-06-09T12:30:00+10:00,,,,,B,,,,,,
JP2047 Trip #29,QF815,CBR-MEL,2015-06-12T15:00:00+10:00,2015-06-12T16:10:00+10:00,,,,,B,,,,,,
JP2047 Trip #30,QF814,MEL-CBR,2015-06-15T09:00:00+10:00,2015-06-15T10:05:00+10:00,,,,,B,VH-VZY,738,,,,
JP2047 Trip #30,QF815,CBR-MEL,2015-06-19T15:00:00+10:00,2015-06-19T16:10:00+10:00,,,,,B,,,,,,
JP2047 Trip #31,QF1528,MEL-CBR,2015-06-22T10:30:00+10:00,2015-06-22T11:35:00+10:00,,,,,B,,,,,,
JP2047 Trip #31,QF815,CBR-MEL,2015-06-26T15:00:00+10:00,2015-06-26T16:10:00+10:00,,,,,B,VH-VXK,738,,,,
Auckland Trip,QF151,MEL-AKL,2015-06-26T23:35:00+10:00,2015-06-27T05:15:00+12:00,,,,,L,ZK-ZQE,738,,C,,
Auckland Trip,EK413,AKL-SYD,2015-06-29T17:55:00+12:00,2015-06-29T19:25:00+10:00,,,,,L,A6-EDN,388,,F,Marketed as QF8763,
JP2047 Trip #32,QF815,CBR-MEL,2015-07-10T15:00:00+10:00,2015-07-10T16:10:00+10:00,,,,,B,VH-VXO,738,,,,
JP2047 Trip #33,QF814,MEL-CBR,2015-07-13T09:00:00+10:00,2015-07-13T10:05:00+10:00,,,,,B,VH-VYG,738,,,,
JP2047 Trip #33,QF815,CBR-MEL,2015-07-24T15:00:00+10:00,2015-07-24T16:10:00+10:00,,,,,B,VH-VXI,738,,,,
JP2047 Trip #34,QF812,MEL-CBR,2015-07-26T12:20:00+10:00,2015-07-26T13:25:00+10:00,,,,,B,VH-XZF,738,,,,
JP2047 Trip #34,QF815,CBR-MEL,2015-08-07T15:00:00+10:00,2015-08-07T16:10:00+10:00,,,,,B,VH-XZL,738,,,,
JP2047 Trip #35,QF1528,MEL-CBR,2015-08-10T10:30:00+10:00,2015-08-10T11:35:00+10:00,,,,,B,VH-YQU,712,,,,
JP2047 Trip #35,QF815,CBR-MEL,2015-08-14T15:00:00+10:00,2015-08-14T16:10:00+10:00,,,,,B,,,,,,
